#C64 Studio BASIC declaration file
#Comments start with #
#CSV Format 
#Token        = actual name of command
#ByteValues   = one or more byte values (hex)
#Abbreviation = short cut of command if it exists (lower case, shifted letters are upper case)
#OptionalInfo = a list of strings, separated by comma, these are defined
#               comment             : Opcode marks everything for the rest of the line is a comment
#               linenumberat:<x>    : a line number is in argument <x>  (e.g. THEN;;;linenumberat:0)
#               listoflinenumbers   : a dynamic list of line numbers, separated by comma (e.g. GOSUB;;;listoflinenumbers)
#
#StartAddress=xxxx  = sets the default BASIC start address
#SafeLineLength=xxxx    > sets the max. number of characters before a warning appears
#HasTextLabels          = Can use text labels of varying length, as either simple call, or following a BASIC token (e.g. EXEC, PROC)
#Machines=<machine1>[,...]  list machines that use this BASIC dialect
#                           valid values C64,VIC20,C128,PLUS4,PET,CBM,ATARI2600,MEGA65,NES,COMMANDER_X16,CPC,ZX80,ZX81,ZX_SPECTRUM
#VariableRelevantLength     number of characters of a variable that are relevant (e.g. for Commodore this is 2, others have no limit)

StartAddress=2049
SafeLineLength=80
MaxLineLength=250
ExtendedTokensRecognizedInsideComment
Machines=C64
VariableRelevantLength=2

Token;ByteValues;Abbreviation[;OptionalInfo]
END;80;eN
FOR;81;fO
NEXT;82;nE
DATA;83;dA
INPUT#;84;iN
INPUT;85;
DIM;86;dI
READ;87;rE
LET;88;lE
GOTO;89;gO;listoflinenumbers
RUN;8A;rU;linenumberat:0
IF;8B;
RESTORE;8C;reS
GOSUB;8D;goS;listoflinenumbers
RETURN;8E;reT
REM;8F;;comment
STOP;90;sT
ON;91;
WAIT;92;wA
LOAD;93;lO
SAVE;94;sA
VERIFY;95;vE
DEF;96;dE
POKE;97;pO
PRINT#;98;pR
PRINT;99;
?;99;
CONT;9A;cO
LIST;9B;lI;linelistrange
CLR;9C;cL
CMD;9D;cM
SYS;9E;sY
OPEN;9F;oP
CLOSE;A0;clO
GET;A1;gE
NEW;A2;
TAB(;A3;tA
TO;A4;
FN;A5;
SPC(;A6;sP
THEN;A7;tH;linenumberat:0
NOT;A8;nO
STEP;A9;stE
+;AA;
-;AB;
*;AC;
/;AD;
^;AE;
AND;AF;aN
OR;B0;
>;B1;
=;B2;
<;B3;
SGN;B4;sG
INT;B5;
ABS;B6;aB
USR;B7;uS
FRE;B8;fR
POS;B9;
SQR;BA;sQ
RND;BB;rN
LOG;BC;
EXP;BD;eX
COS;BE;
SIN;BF;sI
TAN;C0;
ATN;C1;aT
PEEK;C2;pE
LEN;C3;
STR$;C4;stR
VAL;C5;vA
ASC;C6;aS
CHR$;C7;cH
LEFT$;C8;leF
RIGHT$;C9;rI
MID$;CA;mI
GO;CB;;gotoken

CIRCLE;F2;cL
COLOR=;F5;cO
DIRECTORY;D7;dI
DRAW;ED;dR
DTASET;DA;dT
FILTER;E3;fI
FILL;EE;fiL
FRAME;EF;fR
GCLEAR;EA;GVL
GCOMB;D9;gC
GLOAD;F9;gL
GMODE;E9;gN
GMOVE;EB;gmoV
GSAVE;F8;gS
HCOPY;FA;nC
IF#;FC;iF
INVERS;F0;iN
IRETURN;FB;iR
KEY;DD;kE
MERGE;DB;nE
PADDLE;F3;pA
PAINT;FD;pal
PCOL=;F7;pC
PLOT;EC;pL
RENUM;DC;rE
SCALE=;F4;sC
SCOL=;F6;scO
SDEFINE;E5;sD
SMODE;E8;sM
SOUND;E1;sO
SPOWER;D8;sP
SREAD;E4;sR
SSET;E6;sS
SWAIT;E7;sW
TEXT;F1;tE
TRANS;DE;tR
TUNE;E0;tU
VOLUME=;E2;vO

#from here on it's extended opcodes, required for C64Studio extensions
ExOpcodes

#C64 Studio extension
LABEL;F0;
