Opcode	Value	Addressing	Example	Cycles	Comment
BRK	$00	Immediate	BRK	7	
ORA	$01	(Indirect,X)	ORA ($FF,X)	6	
ORQ	$01	Zeropage	ORQ ($12)	3	
CLE	$02	Implied	CLE	2	
SEE	$03	Implied	SEE	2	
TSB	$04	Zeropage	TSB	5	
ORA	$05	Zeropage	ORA $12	3	
ASL	$06	Zeropage	ASL $12	5	
ASLQ	$06	Zeropage	ASLQ $12	5	
RMB0	$07	Zeropage	RMB0 $12	5	
PHP	$08	Implied	PHP	3	
ORA	$09	Immediate	ORA #$12	2	
ASL	$0A	Implied	"ASL
ASL A"	2	
ASLQ	$0A	Implicit	ASLQ	2	
TSY	$0B	Absolute	TSB	6	
TSB	$0C	Absolute	TSB	6	
ORA	$0D	Absolute	ORA $1234	4	
ORQ	$0D	Zeropage Indirect	ORQ ($12)	4	
ASL	$0E	Absolute	ASL $1234	6	
ASLQ	$0E	Absolute	ASLQ	6	
BBR0	$0F	Zeropage Relative	BBR0 $12,$1234	2*	
BPL	$10	Relative	BPL $1234	2*	
ORA	$11	(Indirect),Y	ORA ($12),Y	5*	
ORA	$12	(Indirect),Z	ORA ($12),Z	5	
ORA	$12	(Indirect),Z	ORA [$12],Z	5	long mode
ORQ	$12	Zeropage Indirect	ORQ ($12)	5	
ORQ	$12	Zeropage Indirect	ORQ [$12]	5	long mode
LBPL	$13	Relative 16bit	LBPL $1234	3*	
TRB	$14	Zeropage	TRB	5	
ORA	$15	Zeropage,X	ORA $12,X	4	
ASL	$16	Zeropage,X	ASL $12,X	6	
ASLQ	$16	Zeropage,X	ASLQ $12,X	6*	
RMB1	$17	Zeropage	RMB1 $12	5	
CLC	$18	Implied	CLC	2	
ORA	$19	Absolute,Y	ORA $1234,Y	4*	
INC	$1A	Implied	INC	2	
INQ	$1A	Implied	INQ	2	
INZ	$1B	Implied	INZ	2	
TRB	$1C	Absolute	TRB	6	
ORA	$1D	Absolute,X	ORA $1234,X	4*	
ASL	$1E	Absolute,X	ASL $1234,X	7	
ASLQ	$1E	Absolute,X	ASLQ $1234,X	7*	
BBR1	$1F	Zeropage Relative	BBR1 $12,$1234	2*	
JSR	$20	Absolute	JSR $1234	6	
AND	$21	(Indirect,X)	AND ($12,X)	6	
JSR	$22	(Abs. Indirect)	JSR ($1234)	6	
JSR	$23	(Abs. Indirect,X)	JSR ($1234,X)	6	
BIT	$24	Zeropage	BIT $12	3	
BITQ	$24	Zeropage	BITQ $12	3	
AND	$25	Zeropage	AND $12	3	
ANDQ	$25	Zeropage	ANDQ $12	3	
ROL	$26	Zeropage	ROL $12	5	
ROLQ	$26	Zeropage	ROLQ $12	5	
RMB2	$27	Zeropage	RMB2 $12	5	
PLP	$28	Implied	PLP	4	
AND	$29	Immediate	AND #$12	2	
ROL	$2A	Implied	"ROL
ROL A"	2	
ROLQ	$2A	Implied	ROLQ	2	
TYS	$2B	Implied	TYS	2	
BIT	$2C	Absolute	BIT $1234	4	
BITQ	$2C	Absolute	BITQ $1234	4	
AND	$2D	Absolute	AND $1234	4	
ANDQ	$2D	Absolute	ANDQ $1234	4	
ROL	$2E	Absolute	ROL $1234	6	
ROLQ	$2E	Absolute	ROLQ $1234	6	
BBR2	$2F	Zeropage Relative	BBR2 $12,$1234	2*	
BMI	$30	Relative	BMI $1234	2*	
AND	$31	(Indirect),Y	AND ($12),Y	5*	
AND	$32	(Indirect),Z	AND ($12),Z	5	
AND	$32	(Indirect),Z	AND [$12],Z	5	long mode
ANDQ	$32	Zeropage Indirect	ANDQ ($12)	5	
ANDQ	$32	Zeropage Indirect	ANDQ [$12]	5	long mode
LBMI	$33	Relative 16bit	LBMI $1234	3*	
BIT	$34	Zeropage,X	BIT $12,X	4	
AND	$35	Zeropage,X	AND $12,X	4	
ROL	$36	Zeropage,X	ROL $12,X	6	
ROLQ	$36	Zeropage,X	ROLQ $12,X	6	
RMB3	$37	Zeropage	RMB3 $12	5	
SEC	$38	Implied	SEC	2	
AND	$39	Absolute,Y	AND $1234,Y	4*	
DEC	$3A	Implied	DEC	2	
DEQ	$3A	Implied	DEQ	2	
DEZ	$3B	Implied	DEZ	2	
