Opcode;Value;Addressing;Example;Cycles;Comment
BRK;$00;Immediate;BRK;7;
ORA;$01;(Indirect,X);ORA ($FF,X);6;
JAM;$02;Implied;JAM;1;
SLO;$03;(Indirect,X);SLO ($12,X);8;Illegal
NOP;$04;Zeropage;NOP $12;3;Illegal
ORA;$05;Zeropage;ORA $12;3;
ASL;$06;Zeropage;ASL $12;5;
SLO;$07;Zeropage;SLO $12;5;Illegal
PHP;$08;Implied;PHP;3;
ORA;$09;Immediate;ORA #$12;2;
ASL;$0A;Implied;"ASL
ASL A";2;
ANC;$0B;Immediate;ANC #$12;2;Illegal
NOP;$0C;Absolute;NOP $1234;4;Illegal
ORA;$0D;Absolute;ORA $1234;4;
ASL;$0E;Absolute;ASL $1234;6;
SLO;$0F;Absolute;SLO $1234;6;Illegal
BPL;$10;Relative;BPL $1234;2*;
ORA;$11;(Indirect),Y;ORA ($12),Y;5*;
JAM;$12;Implied;JAM;1;
SLO;$13;(Indirect),Y;SLO ($12),Y;8;Illegal
NOP;$14;Zeropage,X;NOP $12,X;4;Illegal
ORA;$15;Zeropage,X;ORA $12,X;4;
ASL;$16;Zeropage,X;ASL $12,X;6;
SLO;$17;Zeropage,X;SLO $12,X;6;Illegal
CLC;$18;Implied;CLC;2;
ORA;$19;Absolute,Y;ORA $1234,Y;4*;
NOP;$1A;Implied;NOP;2;Illegal
SLO;$1B;Absolute,Y;SLO $1234,Y;7;Illegal
NOP;$1C;Absolute,X;NOP $1234,X;4*;Illegal
ORA;$1D;Absolute,X;ORA $1234,X;4*;
ASL;$1E;Absolute,X;ASL $1234,X;7;
SLO;$1F;Absolute,X;SLO $1234,X;7;Illegal
JSR;$20;Absolute;JSR $1234;6;
AND;$21;(Indirect,X);AND ($12,X);6;
JAM;$22;Implied;JAM;1;
RLA;$23;(Indirect,X);RLA ($12,X);8;
BIT;$24;Zeropage;BIT $12;3;
AND;$25;Zeropage;AND $12;3;
ROL;$26;Zeropage;ROL $12;5;
RLA;$27;Zeropage;RLA $12;5;
PLP;$28;Implied;PLP;4;
AND;$29;Immediate;AND #$12;2;
ROL;$2A;Implied;"ROL
ROL A";2;
ANC;$2B;Immediate;ANC #$12;2;Illegal
BIT;$2C;Absolute;BIT $1234;4;
AND;$2D;Absolute;AND $1234;4;
ROL;$2E;Absolute;ROL $1234;6;
RLA;$2F;Absolute;RLA $1234;6;
BMI;$30;Relative;BMI $1234;2*;
AND;$31;(Indirect),Y;AND ($12),Y;5*;
JAM;$32;Implied;JAM;1;
RLA;$33;(Indirect),Y;RLA ($12),Y;8;
NOP;$34;Zeropage,X;NOP $12,X;4;Illegal
AND;$35;Zeropage,X;AND $12,X;4;
ROL;$36;Zeropage,X;ROL $12,X;6;
RLA;$37;Zeropage,X;RLA $12,X;6;
SEC;$38;Implied;SEC;2;
AND;$39;Absolute,Y;AND $1234,Y;4*;
NOP;$3A;Implied;NOP;2;Illegal
RLA;$3B;Absolute,Y;RLA $1234,Y;7;
NOP;$3C;Absolute,X;NOP $1234,X;4*;Illegal
AND;$3D;Absolute,X;AND $1234,X;4*;
ROL;$3E;Absolute,X;ROL $1234,X;7;
RLA;$3F;Absolute,X;RLA $1234,X;7;
RTI;$40;Implied;RTI;6;
EOR;$41;(Indirect,X);EOR ($12,X);6;
JAM;$42;Implied;JAM;1;
SRE;$43;(Indirect,X);SRE ($12,X);8;Illegal
NOP;$44;Zeropage;NOP $12;3;Illegal
EOR;$45;Zeropage;EOR $12;3;
LSR;$46;Zeropage;LSR $12;5;
SRE;$47;Zeropage;SRE $12;5;Illegal
PHA;$48;Implied;PHA;3;
EOR;$49;Immediate;EOR #$12;2;
LSR;$4A;Implied;"LSR
LSR A";2;
ASR;$4B;Immediate;ASR #$12;2;Illegal
JMP;$4C;Absolute;JMP $1234;3;
EOR;$4D;Absolute;EOR $1234;4;
LSR;$4E;Absolute;LSR $1234;6;
SRE;$4F;Absolute;SRE $1234;6;Illegal
BVC;$50;Relative;BVC $1234;2*;
EOR;$51;(Indirect),Y;EOR ($12),Y;5*;
JAM;$52;Implied;JAM;1;
SRE;$53;(Indirect),Y;SRE ($12),Y;8;Illegal
