Opcode;Value;Addressing;Example;Cycles;Comment
BRK;$00;Immediate;BRK;7;
ORA;$01;(Indirect,X);ORA ($FF,X);6;
NOP;$02;Implied;NOP;?;
NOP;$03;(Indirect,X);NOP ($12,X);?;
TSB;$04;Zeropage;TSB;?;
ORA;$05;Zeropage;ORA $12;3;
ASL;$06;Zeropage;ASL $12;5;
NOP;$07;Zeropage;NOP $12;?;
PHP;$08;Implied;PHP;3;
ORA;$09;Immediate;ORA #$12;2;
ASL;$0A;Implied;"ASL
ASL A";2;
NOP;$0B;Immediate;NOP #$12;?;
TSB;$0C;Absolute;TSB;?;
ORA;$0D;Absolute;ORA $1234;4;
ASL;$0E;Absolute;ASL $1234;6;
NOP;$0F;Zeropage Relative;NOP $12,$1234;?;
BPL;$10;Relative;BPL $1234;2*;
ORA;$11;(Indirect),Y;ORA ($12),Y;5*;
JAM;$12;Implied;JAM;1;
NOP;$13;(Indirect),Y;NOP ($12),Y;?;
TRB;$14;Zeropage;TRB;?;
ORA;$15;Zeropage,X;ORA $12,X;4;
ASL;$16;Zeropage,X;ASL $12,X;6;
NOP;$17;Zeropage;NOP $12;?;
CLC;$18;Implied;CLC;2;
ORA;$19;Absolute,Y;ORA $1234,Y;4*;
INC;$1A;Implied;INC;2;
NOP;$1B;Absolute,Y;NOP $1234,Y;?;
TRB;$1C;Absolute;TRB;?;
ORA;$1D;Absolute,X;ORA $1234,X;4*;
ASL;$1E;Absolute,X;ASL $1234,X;7;
NOP;$1F;Zeropage Relative;NOP $12,$1234;?;
JSR;$20;Absolute;JSR $1234;6;
AND;$21;(Indirect,X);AND ($12,X);6;
NOP;$22;Implied;NOP;?;
NOP;$23;(Indirect,X);NOP ($12,X);?;
BIT;$24;Zeropage;BIT $12;3;
AND;$25;Zeropage;AND $12;3;
ROL;$26;Zeropage;ROL $12;5;
NOP;$27;Zeropage;NOP $12;?;
PLP;$28;Implied;PLP;4;
AND;$29;Immediate;AND #$12;2;
ROL;$2A;Implied;"ROL
ROL A";2;
NOP;$2B;Immediate;NOP #$12;?;
BIT;$2C;Absolute;BIT $1234;4;
AND;$2D;Absolute;AND $1234;4;
ROL;$2E;Absolute;ROL $1234;6;
NOP;$2F;Zeropage Relative;NOP $12,$1234;?;
BMI;$30;Relative;BMI $1234;2*;
AND;$31;(Indirect),Y;AND ($12),Y;5*;
JAM;$32;Implied;JAM;1;
NOP;$33;(Indirect),Y;NOP ($12),Y;?;
BIT;$34;Zeropage,X;BIT $12,X;4;
AND;$35;Zeropage,X;AND $12,X;4;
ROL;$36;Zeropage,X;ROL $12,X;6;
NOP;$37;Zeropage;NOP $12;?;
SEC;$38;Implied;SEC;2;
AND;$39;Absolute,Y;AND $1234,Y;4*;
DEC;$3A;Implied;DEC;2;
NOP;$3B;Absolute,Y;NOP $1234,Y;?;
BIT;$3C;Absolute,X;BIT $1234,X;4*;
AND;$3D;Absolute,X;AND $1234,X;4*;
ROL;$3E;Absolute,X;ROL $1234,X;7;
NOP;$3F;Zeropage Relative;NOP $12,$1234;?;
RTI;$40;Implied;RTI;6;
EOR;$41;(Indirect,X);EOR ($12,X);6;
NOP;$42;Implied;NOP;?;
NOP;$43;(Indirect,X);NOP ($12,X);?;
NOP;$44;Zeropage;NOP $12;?;
EOR;$45;Zeropage;EOR $12;3;
LSR;$46;Zeropage;LSR $12;5;
NOP;$47;Zeropage;NOP $12;?;
PHA;$48;Implied;PHA;3;
EOR;$49;Immediate;EOR #$12;2;
LSR;$4A;Implied;"LSR
LSR A";2;
NOP;$4B;Immediate;NOP #$12;?;
JMP;$4C;Absolute;JMP $1234;3;
EOR;$4D;Absolute;EOR $1234;4;
LSR;$4E;Absolute;LSR $1234;6;
NOP;$4F;Zeropage Relative;NOP $12,$1234;?;
BVC;$50;Relative;BVC $1234;2*;
EOR;$51;(Indirect),Y;EOR ($12),Y;5*;
JAM;$52;Implied;JAM;1;
NOP;$53;(Indirect),Y;NOP ($12),Y;?;
NOP;$54;Zeropage,X;NOP $12,X;?;
EOR;$55;Zeropage,X;EOR $12,X;4;
LSR;$56;Zeropage,X;LSR $12,X;6;
NOP;$57;Zeropage;NOP $12;?;
